releaseDate,FIPS,county,state,NONE,D0,D1,D2,D3,D4,validStart,validEnd,domStatisticFormatID
1/4/11,6001,Alameda County,CA,100,0,0,0,0,0,1/4/11,1/10/11,1
1/11/11,6001,Alameda County,CA,100,0,0,0,0,0,1/11/11,1/17/11,1
1/18/11,6001,Alameda County,CA,100,0,0,0,0,0,1/18/11,1/24/11,1
1/25/11,6001,Alameda County,CA,100,0,0,0,0,0,1/25/11,1/31/11,1
2/1/11,6001,Alameda County,CA,100,0,0,0,0,0,2/1/11,2/7/11,1
2/8/11,6001,Alameda County,CA,100,0,0,0,0,0,2/8/11,2/14/11,1
2/15/11,6001,Alameda County,CA,100,0,0,0,0,0,2/15/11,2/21/11,1
2/22/11,6001,Alameda County,CA,100,0,0,0,0,0,2/22/11,2/28/11,1
3/1/11,6001,Alameda County,CA,100,0,0,0,0,0,3/1/11,3/7/11,1
3/8/11,6001,Alameda County,CA,100,0,0,0,0,0,3/8/11,3/14/11,1
3/15/11,6001,Alameda County,CA,100,0,0,0,0,0,3/15/11,3/21/11,1
3/22/11,6001,Alameda County,CA,100,0,0,0,0,0,3/22/11,3/28/11,1
3/29/11,6001,Alameda County,CA,100,0,0,0,0,0,3/29/11,4/4/11,1
4/5/11,6001,Alameda County,CA,100,0,0,0,0,0,4/5/11,4/11/11,1
4/12/11,6001,Alameda County,CA,100,0,0,0,0,0,4/12/11,4/18/11,1
4/19/11,6001,Alameda County,CA,100,0,0,0,0,0,4/19/11,4/25/11,1
4/26/11,6001,Alameda County,CA,100,0,0,0,0,0,4/26/11,5/2/11,1
5/3/11,6001,Alameda County,CA,100,0,0,0,0,0,5/3/11,5/9/11,1
5/10/11,6001,Alameda County,CA,100,0,0,0,0,0,5/10/11,5/16/11,1
5/17/11,6001,Alameda County,CA,100,0,0,0,0,0,5/17/11,5/23/11,1
5/24/11,6001,Alameda County,CA,100,0,0,0,0,0,5/24/11,5/30/11,1
5/31/11,6001,Alameda County,CA,100,0,0,0,0,0,5/31/11,6/6/11,1
6/7/11,6001,Alameda County,CA,100,0,0,0,0,0,6/7/11,6/13/11,1
6/14/11,6001,Alameda County,CA,100,0,0,0,0,0,6/14/11,6/20/11,1
6/21/11,6001,Alameda County,CA,100,0,0,0,0,0,6/21/11,6/27/11,1
6/28/11,6001,Alameda County,CA,100,0,0,0,0,0,6/28/11,7/4/11,1
7/5/11,6001,Alameda County,CA,100,0,0,0,0,0,7/5/11,7/11/11,1
7/12/11,6001,Alameda County,CA,100,0,0,0,0,0,7/12/11,7/18/11,1
7/19/11,6001,Alameda County,CA,100,0,0,0,0,0,7/19/11,7/25/11,1
7/26/11,6001,Alameda County,CA,100,0,0,0,0,0,7/26/11,8/1/11,1
8/2/11,6001,Alameda County,CA,100,0,0,0,0,0,8/2/11,8/8/11,1
8/9/11,6001,Alameda County,CA,100,0,0,0,0,0,8/9/11,8/15/11,1
8/16/11,6001,Alameda County,CA,100,0,0,0,0,0,8/16/11,8/22/11,1
8/23/11,6001,Alameda County,CA,100,0,0,0,0,0,8/23/11,8/29/11,1
8/30/11,6001,Alameda County,CA,100,0,0,0,0,0,8/30/11,9/5/11,1
9/6/11,6001,Alameda County,CA,100,0,0,0,0,0,9/6/11,9/12/11,1
9/13/11,6001,Alameda County,CA,100,0,0,0,0,0,9/13/11,9/19/11,1
9/20/11,6001,Alameda County,CA,100,0,0,0,0,0,9/20/11,9/26/11,1
9/27/11,6001,Alameda County,CA,100,0,0,0,0,0,9/27/11,10/3/11,1
10/4/11,6001,Alameda County,CA,100,0,0,0,0,0,10/4/11,10/10/11,1
10/11/11,6001,Alameda County,CA,100,0,0,0,0,0,10/11/11,10/17/11,1
10/18/11,6001,Alameda County,CA,100,0,0,0,0,0,10/18/11,10/24/11,1
10/25/11,6001,Alameda County,CA,100,0,0,0,0,0,10/25/11,10/31/11,1
11/1/11,6001,Alameda County,CA,100,0,0,0,0,0,11/1/11,11/7/11,1
11/8/11,6001,Alameda County,CA,100,0,0,0,0,0,11/8/11,11/14/11,1
11/15/11,6001,Alameda County,CA,100,0,0,0,0,0,11/15/11,11/21/11,1
11/22/11,6001,Alameda County,CA,100,0,0,0,0,0,11/22/11,11/28/11,1
11/29/11,6001,Alameda County,CA,100,0,0,0,0,0,11/29/11,12/5/11,1
12/6/11,6001,Alameda County,CA,100,0,0,0,0,0,12/6/11,12/12/11,1
12/13/11,6001,Alameda County,CA,100,0,0,0,0,0,12/13/11,12/19/11,1
12/20/11,6001,Alameda County,CA,100,0,0,0,0,0,12/20/11,12/26/11,1
12/27/11,6001,Alameda County,CA,0,100,0,0,0,0,12/27/11,1/2/12,1
1/3/12,6001,Alameda County,CA,0,100,100,0,0,0,1/3/12,1/9/12,1
1/10/12,6001,Alameda County,CA,0,100,100,0,0,0,1/10/12,1/16/12,1
1/17/12,6001,Alameda County,CA,0,100,100,0,0,0,1/17/12,1/23/12,1
1/24/12,6001,Alameda County,CA,0,100,100,0,0,0,1/24/12,1/30/12,1
1/31/12,6001,Alameda County,CA,0,100,100,0,0,0,1/31/12,2/6/12,1
2/7/12,6001,Alameda County,CA,0,100,100,0,0,0,2/7/12,2/13/12,1
2/14/12,6001,Alameda County,CA,0,100,100,0,0,0,2/14/12,2/20/12,1
2/21/12,6001,Alameda County,CA,0,100,100,0,0,0,2/21/12,2/27/12,1
2/28/12,6001,Alameda County,CA,0,100,100,0,0,0,2/28/12,3/5/12,1
3/6/12,6001,Alameda County,CA,0,100,100,0,0,0,3/6/12,3/12/12,1
3/13/12,6001,Alameda County,CA,0,100,100,100,0,0,3/13/12,3/19/12,1
3/20/12,6001,Alameda County,CA,0,100,100,91.31,0,0,3/20/12,3/26/12,1
3/27/12,6001,Alameda County,CA,0,100,100,91.31,0,0,3/27/12,4/2/12,1
4/3/12,6001,Alameda County,CA,0,100,100,91.31,0,0,4/3/12,4/9/12,1
4/10/12,6001,Alameda County,CA,0,100,100,91.31,0,0,4/10/12,4/16/12,1
4/17/12,6001,Alameda County,CA,0,100,97.71,0,0,0,4/17/12,4/23/12,1
4/24/12,6001,Alameda County,CA,0,100,97.71,0,0,0,4/24/12,4/30/12,1
5/1/12,6001,Alameda County,CA,0,100,97.71,0,0,0,5/1/12,5/7/12,1
5/8/12,6001,Alameda County,CA,0,100,97.71,0,0,0,5/8/12,5/14/12,1
5/15/12,6001,Alameda County,CA,0,100,97.71,0,0,0,5/15/12,5/21/12,1
5/22/12,6001,Alameda County,CA,0,100,97.71,0,0,0,5/22/12,5/28/12,1
5/29/12,6001,Alameda County,CA,0,100,97.71,0,0,0,5/29/12,6/4/12,1
6/5/12,6001,Alameda County,CA,0,100,97.71,0,0,0,6/5/12,6/11/12,1
6/12/12,6001,Alameda County,CA,0,100,97.71,0,0,0,6/12/12,6/18/12,1
6/19/12,6001,Alameda County,CA,0,100,98.02,0,0,0,6/19/12,6/25/12,1
6/26/12,6001,Alameda County,CA,0,100,98.02,0,0,0,6/26/12,7/2/12,1
7/3/12,6001,Alameda County,CA,0,100,96.23,0,0,0,7/3/12,7/9/12,1
7/10/12,6001,Alameda County,CA,0,100,96.52,0,0,0,7/10/12,7/16/12,1
7/17/12,6001,Alameda County,CA,0,100,96.52,0,0,0,7/17/12,7/23/12,1
7/24/12,6001,Alameda County,CA,0,100,96.52,0,0,0,7/24/12,7/30/12,1
